,Date,Open,High,Low,Close,Volume
0,07/19/2021,"2,623.11","2,624.94","2,570.74","2,585.08","1,285,466"
1,07/16/2021,"2,632.82","2,643.66","2,616.43","2,636.91","743,059"
2,07/15/2021,"2,650.00","2,651.90","2,611.96","2,625.33","829,316"
3,07/14/2021,"2,638.03","2,659.92","2,637.96","2,641.65","895,927"
4,07/13/2021,"2,617.63","2,640.84","2,612.74","2,619.89","830,898"
5,07/12/2021,"2,596.67","2,615.40","2,592.00","2,611.28","847,546"
6,07/09/2021,"2,578.89","2,596.99","2,578.87","2,591.49","755,466"
7,07/08/2021,"2,565.00","2,600.65","2,560.80","2,583.54","988,975"
8,07/07/2021,"2,606.82","2,612.80","2,595.20","2,601.55","834,186"
9,07/06/2021,"2,588.99","2,597.69","2,568.18","2,595.42","1,067,517"
10,07/02/2021,"2,536.79","2,576.96","2,535.38","2,574.38","1,058,256"
11,07/01/2021,"2,497.00","2,529.25","2,497.00","2,527.37","856,230"
12,06/30/2021,"2,513.07","2,516.00","2,495.15","2,506.32","1,200,478"
13,06/29/2021,"2,535.45","2,540.00","2,508.74","2,520.37","1,047,478"
14,06/28/2021,"2,540.00","2,546.74","2,519.48","2,536.39","1,405,543"
15,06/25/2021,"2,539.14","2,550.10","2,528.88","2,539.90","1,674,297"
16,06/24/2021,"2,541.07","2,550.71","2,539.20","2,545.64","946,662"
17,06/23/2021,"2,531.00","2,555.92","2,525.04","2,529.23","984,658"
18,06/22/2021,"2,529.00","2,545.40","2,520.53","2,539.99","1,049,310"
19,06/21/2021,"2,514.80","2,540.74","2,502.69","2,529.10","1,312,826"
20,06/18/2021,"2,514.11","2,527.78","2,492.06","2,511.35","2,665,310"
21,06/17/2021,"2,510.46","2,543.93","2,510.30","2,527.42","1,287,791"
22,06/16/2021,"2,524.95","2,530.47","2,483.00","2,513.93","1,315,838"
23,06/15/2021,"2,530.44","2,537.24","2,512.97","2,520.66","1,109,130"
24,06/14/2021,"2,513.39","2,528.23","2,500.94","2,527.04","1,127,522"
25,06/11/2021,"2,524.92","2,526.99","2,498.29","2,513.93","1,262,309"
26,06/10/2021,"2,494.01","2,523.26","2,494.00","2,521.60","1,561,733"
27,06/09/2021,"2,499.50","2,505.00","2,487.33","2,491.40","1,006,337"
28,06/08/2021,"2,479.90","2,494.50","2,468.24","2,482.85","1,253,253"
29,06/07/2021,"2,451.32","2,468.00","2,441.07","2,466.09","1,192,453"
30,06/04/2021,"2,422.52","2,453.86","2,417.77","2,451.76","1,297,434"
31,06/03/2021,"2,395.02","2,409.75","2,382.83","2,404.61","917,291"
32,06/02/2021,"2,435.31","2,442.00","2,404.20","2,421.28","858,105"
33,06/01/2021,"2,422.00","2,437.97","2,404.88","2,429.81","958,289"
34,05/28/2021,"2,421.96","2,428.14","2,407.69","2,411.56","1,205,382"
35,05/27/2021,"2,436.94","2,440.00","2,402.00","2,402.51","1,948,113"
36,05/26/2021,"2,412.84","2,442.94","2,412.52","2,433.53","1,092,819"
37,05/25/2021,"2,420.00","2,432.89","2,402.99","2,409.07","941,928"
38,05/24/2021,"2,367.00","2,418.48","2,360.11","2,406.67","1,062,189"
39,05/21/2021,"2,365.99","2,369.00","2,342.37","2,345.10","1,141,632"
40,05/20/2021,"2,328.04","2,360.34","2,321.09","2,356.09","1,191,593"
41,05/19/2021,"2,264.40","2,316.76","2,263.52","2,308.71","967,544"
42,05/18/2021,"2,336.91","2,343.15","2,303.16","2,303.43","865,119"
43,05/17/2021,"2,309.32","2,323.34","2,295.00","2,321.41","991,792"
44,05/14/2021,"2,291.83","2,321.14","2,283.32","2,316.16","1,331,248"
45,05/13/2021,"2,261.09","2,276.60","2,242.72","2,261.97","1,333,508"
46,05/12/2021,"2,261.71","2,285.37","2,230.05","2,239.08","1,746,664"
47,05/11/2021,"2,291.86","2,322.00","2,283.00","2,308.76","1,605,548"
48,05/10/2021,"2,374.89","2,378.00","2,334.73","2,341.66","1,300,271"
49,05/07/2021,"2,400.00","2,416.41","2,390.00","2,398.69","1,163,892"
50,05/06/2021,"2,350.64","2,382.71","2,342.34","2,381.35","1,030,859"
51,05/05/2021,"2,368.42","2,382.20","2,351.41","2,356.74","1,090,275"
52,05/04/2021,"2,369.74","2,379.26","2,311.70","2,354.25","1,756,015"
53,05/03/2021,"2,402.72","2,419.70","2,384.50","2,395.17","1,689,389"
54,04/30/2021,"2,404.49","2,427.14","2,402.16","2,410.12","1,957,130"
55,04/29/2021,"2,410.33","2,436.52","2,402.28","2,429.89","1,977,677"
56,04/28/2021,"2,407.15","2,452.38","2,374.85","2,379.91","2,986,439"
57,04/27/2021,"2,336.00","2,337.45","2,304.27","2,307.12","1,598,583"
58,04/26/2021,"2,319.93","2,341.26","2,313.84","2,326.74","1,041,650"
59,04/23/2021,"2,283.47","2,325.82","2,278.21","2,315.30","1,435,162"
60,04/22/2021,"2,293.23","2,303.76","2,256.45","2,267.92","1,054,808"
61,04/21/2021,"2,285.25","2,295.32","2,258.57","2,293.29","1,196,731"
62,04/20/2021,"2,307.89","2,309.60","2,271.71","2,293.63","1,088,749"
63,04/19/2021,"2,291.98","2,318.45","2,287.85","2,302.40","1,234,445"
64,04/16/2021,"2,303.00","2,306.44","2,284.45","2,297.76","1,130,090"
65,04/15/2021,"2,276.98","2,306.60","2,266.00","2,296.66","1,373,612"
66,04/14/2021,"2,275.16","2,277.99","2,249.19","2,254.84","1,010,967"
67,04/13/2021,"2,261.47","2,277.21","2,256.09","2,267.27","1,165,804"
68,04/12/2021,"2,266.25","2,275.32","2,238.47","2,254.79","1,565,851"
69,04/09/2021,"2,256.70","2,289.04","2,253.71","2,285.88","1,044,365"
70,04/08/2021,"2,277.96","2,284.01","2,257.68","2,265.44","1,358,259"
